Country,Country Code,Region,Year,GDP Per Capita (USD),"Life expectancy at birth, total (years)",Population
Portugal,PRT,Southern Europe,2015,19242.36647,81.12439024,10358076
Portugal,PRT,Southern Europe,2016,19978.40121,81.12439024,10325452
Portugal,PRT,Southern Europe,2017,21437.3475,81.42439024,10300300
Portugal,PRT,Southern Europe,2018,23551.04829,81.32439024,10283822
Portugal,PRT,Southern Europe,2019,23284.52723,80.68292683,10286263
Portugal,PRT,Southern Europe,2020,22439.87687,80.68292683,10305564
Romania,ROU,Central and Eastern Europe,2010,8214.076893,73.45853659,20246871
Romania,ROU,Central and Eastern Europe,2011,9099.217539,74.4097561,20147528
Romania,ROU,Central and Eastern Europe,2012,8507.104775,74.41219512,20058035
Romania,ROU,Central and Eastern Europe,2013,9547.852151,75.06341463,19983693
Romania,ROU,Central and Eastern Europe,2014,10043.67745,74.9097561,19908979
Romania,ROU,Central and Eastern Europe,2015,8969.148921,74.91219512,19815616
Romania,ROU,Central and Eastern Europe,2016,9548.587403,75.2097561,19702267
Romania,ROU,Central and Eastern Europe,2017,10807.00917,75.3097561,19588715
Romania,ROU,Central and Eastern Europe,2018,12398.98198,75.35853659,19473970
Romania,ROU,Central and Eastern Europe,2019,12889.80961,75.45853659,19371648
Romania,ROU,Central and Eastern Europe,2020,12896.08862,75.45853659,19286123
Russian Federation,RUS,Central and Eastern Europe,2010,10674.99578,68.84121951,142849468
Russian Federation,RUS,Central and Eastern Europe,2011,14311.08432,69.68390244,142960908
Russian Federation,RUS,Central and Eastern Europe,2012,15420.87454,70.07219512,143201721
Russian Federation,RUS,Central and Eastern Europe,2013,15974.64463,70.57878049,143506995
Russian Federation,RUS,Central and Eastern Europe,2014,14095.64874,70.74365854,143819667
Russian Federation,RUS,Central and Eastern Europe,2015,9313.013625,71.18341463,144096870
Russian Federation,RUS,Central and Eastern Europe,2016,8704.898413,71.65121951,144342397
Russian Federation,RUS,Central and Eastern Europe,2017,10720.33266,72.45146341,144496739
Russian Federation,RUS,Central and Eastern Europe,2018,11287.35528,72.66219512,144477859
Russian Federation,RUS,Central and Eastern Europe,2019,11497.64925,73.08390244,144406261
Russian Federation,RUS,Central and Eastern Europe,2020,10126.72179,73.08390244,144104080
San Marino,SMR,Southern Europe,2010,60254.7763,0,31221
San Marino,SMR,Southern Europe,2011,57297.51331,0,31655
San Marino,SMR,Southern Europe,2012,49988.46363,85.41707317,32103
San Marino,SMR,Southern Europe,2013,51570.98395,0,32554
San Marino,SMR,Southern Europe,2014,50817.33082,0,32941
San Marino,SMR,Southern Europe,2015,42662.90265,0,33270
San Marino,SMR,Southern Europe,2016,43828.23246,0,33503
San Marino,SMR,Southern Europe,2017,45399.02906,0,33671
San Marino,SMR,Southern Europe,2018,48996.59225,0,33784
San Marino,SMR,Southern Europe,2019,47731.20854,0,33864
San Marino,SMR,Southern Europe,2020,0,0,33938
Serbia,SRB,Central and Eastern Europe,2010,5735.422857,74.33658537,7291436
Serbia,SRB,Central and Eastern Europe,2011,6809.159804,74.53658537,7234099
Serbia,SRB,Central and Eastern Europe,2012,6015.945228,74.83658537,7199077
Serbia,SRB,Central and Eastern Europe,2013,6755.073675,75.18536585,7164132
Serbia,SRB,Central and Eastern Europe,2014,6600.056809,75.33658537,7130576
Serbia,SRB,Central and Eastern Europe,2015,5588.980728,75.28780488,7095383
Serbia,SRB,Central and Eastern Europe,2016,5765.200762,75.68780488,7058322
Serbia,SRB,Central and Eastern Europe,2017,6292.543629,75.53902439,7020858
Serbia,SRB,Central and Eastern Europe,2018,7252.401858,75.8902439,6982604
Serbia,SRB,Central and Eastern Europe,2019,7411.558649,75.68536585,6945235
Serbia,SRB,Central and Eastern Europe,2020,7666.244476,75.68536585,6908224
Slovak Republic,SVK,Central and Eastern Europe,2010,16750.79744,75.11219512,5391428
Slovak Republic,SVK,Central and Eastern Europe,2011,18361.56948,75.95853659,5398384
Slovak Republic,SVK,Central and Eastern Europe,2012,17481.89544,76.1097561,5407579
Slovak Republic,SVK,Central and Eastern Europe,2013,18260.01577,76.41219512,5413393
Slovak Republic,SVK,Central and Eastern Europe,2014,18674.34406,76.81219512,5418649
Slovak Republic,SVK,Central and Eastern Europe,2015,16310.98841,76.56341463,5423801
Slovak Republic,SVK,Central and Eastern Europe,2016,16508.67036,77.16585366,5430798
Slovak Republic,SVK,Central and Eastern Europe,2017,17504.21134,77.16585366,5439232
Slovak Republic,SVK,Central and Eastern Europe,2018,19364.6201,77.26585366,5446771
Slovak Republic,SVK,Central and Eastern Europe,2019,19273.25395,77.47073171,5454147
Slovak Republic,SVK,Central and Eastern Europe,2020,19156.88961,77.47073171,5458827
Slovenia,SVN,Central and Eastern Europe,2010,23509.54314,79.42195122,2048583
Slovenia,SVN,Central and Eastern Europe,2011,25095.13229,79.97073171,2052843
Slovenia,SVN,Central and Eastern Europe,2012,22643.10025,80.12439024,2057159
Slovenia,SVN,Central and Eastern Europe,2013,23496.6025,80.32195122,2059953
Slovenia,SVN,Central and Eastern Europe,2014,24214.92207,81.07804878,2061980
Slovenia,SVN,Central and Eastern Europe,2015,20881.76693,80.77560976,2063531
Slovenia,SVN,Central and Eastern Europe,2016,21663.64341,81.17560976,2065042
Slovenia,SVN,Central and Eastern Europe,2017,23454.73952,81.02926829,2066388
Slovenia,SVN,Central and Eastern Europe,2018,26103.16026,81.37804878,2073894
Slovenia,SVN,Central and Eastern Europe,2019,25940.72803,81.2804878,2088385
Slovenia,SVN,Central and Eastern Europe,2020,25179.66717,81.2804878,2100126
Sweden,SWE,Northern Europe,2010,52869.04429,81.45121951,9378126
Sweden,SWE,Northern Europe,2011,60755.75955,81.80243902,9449213
Sweden,SWE,Northern Europe,2012,58037.82132,81.70487805,9519374
Sweden,SWE,Northern Europe,2013,61126.9432,81.95609756,9600379
Sweden,SWE,Northern Europe,2014,60020.36046,82.25365854,9696110
Sweden,SWE,Northern Europe,2015,51545.48361,82.20487805,9799186
Sweden,SWE,Northern Europe,2016,51965.15715,82.30731707,9923085
Sweden,SWE,Northern Europe,2017,53791.50873,82.4097561,10057698
Sweden,SWE,Northern Europe,2018,54589.06039,82.55853659,10175214
Sweden,SWE,Northern Europe,2019,51686.85135,82.95853659,10278887
Sweden,SWE,Northern Europe,2020,51925.71376,82.95853659,10353442
Ukraine,UKR,Central and Eastern Europe,2010,2965.139715,70.26536585,45870741
Ukraine,UKR,Central and Eastern Europe,2011,3569.758121,70.80926829,45706086
Ukraine,UKR,Central and Eastern Europe,2012,3855.417729,70.94414634,45593342
Ukraine,UKR,Central and Eastern Europe,2013,4029.711252,71.1595122,45489648
Ukraine,UKR,Central and Eastern Europe,2014,3104.643206,71.18658537,45272155
Ukraine,UKR,Central and Eastern Europe,2015,2124.662319,71.1895122,45154036
Ukraine,UKR,Central and Eastern Europe,2016,2187.73051,71.47634146,45004673
Ukraine,UKR,Central and Eastern Europe,2017,2640.675677,71.78097561,44831135
Ukraine,UKR,Central and Eastern Europe,2018,3096.817402,71.58268293,44622518
Ukraine,UKR,Central and Eastern Europe,2019,3662.563087,71.82731707,44386203
Ukraine,UKR,Central and Eastern Europe,2020,3726.927149,71.82731707,44134693
Kosovo,XKX,Southern Europe,2010,3286.557443,70.14390244,1775680
Kosovo,XKX,Southern Europe,2011,3741.875052,70.44390244,1791000
Kosovo,XKX,Southern Europe,2012,3596.804655,70.74390244,1807106
Kosovo,XKX,Southern Europe,2013,3891.266363,70.94390244,1818117
Kosovo,XKX,Southern Europe,2014,4080.330717,71.24390244,1812771
Kosovo,XKX,Southern Europe,2015,3603.025501,71.49512195,1788196
Kosovo,XKX,Southern Europe,2016,3780.003689,71.74390244,1777557
Kosovo,XKX,Southern Europe,2017,4045.614209,71.99512195,1791003
Kosovo,XKX,Southern Europe,2018,4419.914327,72.24390244,1797085
Kosovo,XKX,Southern Europe,2019,4445.890702,72.49512195,1788878
Kosovo,XKX,Southern Europe,2020,4287.200903,72.49512195,1775378
