Rank,Country,Cost of Living Index,Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Quality of Life Index,Safety Index,Health Care Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
29,Germany,90.13812155,67.70077558,73.42281879,93.61508057,97.7370381,104.5293331,116.6815822,96.81764162,110.4829211,76.47494446,111.6109189,88.01696713
91,Ghana,52.00276243,48.56142107,55.43624161,40.42262086,13.99789936,,,,,,,
38,Greece,76.89226519,29.22191644,62.08799403,81.69656431,41.70724721,77.37077737,106.8194022,74.22421762,124.852768,83.53492965,202.0376778,99.87274655
73,Guatemala,58.97790055,38.25369027,55.79418345,50.16722408,38.03112766,,,,,,,
74,Honduras,58.24585635,26.51988992,49.70917226,46.44268775,28.89334479,,,,,,,
11,Hong Kong,106.6574586,199.0743057,113.2587621,82.63910003,62.36990356,57.59055759,141.9366386,87.25736168,559.0106007,102.3451,260.2460592,88.69565217
77,Hungary,56.42265193,34.95121341,45.89112603,52.38674369,45.40246348,74.51596023,116.1983175,63.11897531,173.9693757,88.32387065,185.6593618,84.28419936
3,Iceland,138.7845304,117.4630973,129.5898583,172.909699,75.85219135,105.6747485,137.1755862,87.04608477,79.38751472,49.61737843,62.32218378,72.96924708
130,India,33.95027624,14.21065799,36.61446682,26.10215871,51.84760814,63.16064887,101.4497942,88.64386637,134.0400471,115.9960504,303.2295271,68.79109226
93,Indonesia,51.47790055,26.56992745,55.71961223,27.74399514,23.91864795,56.67189953,96.93932343,79.86267001,222.3792697,106.4181684,255.9015763,78.63202545
86,Iran,53.88121547,36.22717038,53.00521999,38.18789906,21.66523441,43.10715739,90.83586898,68.26884986,295.7597173,118.5139472,297.7700884,75.28101803
85,Iraq,53.92265193,28.22116587,47.50186428,49.74156279,40.5137019,,,,,,,
13,Ireland,104.8480663,109.7823368,87.0246085,123.5025844,77.22715554,89.26681784,97.67316986,68.51974119,88.22143698,93.0140706,130.6805075,94.51749735
8,Israel,112.0856354,78.38378784,98.89634601,134.7674065,74.56316242,87.17948718,126.0068015,96.7780272,151.1189635,88.64477907,220.1076509,99.4485684
28,Italy,92.90055249,53.08981736,82.68456376,109.9422317,62.62770935,81.84196756,99.76731699,87.93080681,114.3698469,84.9666749,213.8792772,97.84729586
37,Jamaica,79.86187845,38.15361521,87.93437733,57.95074491,30.90804927,,,,,,,
4,Japan,115.1243094,64.9737303,122.0283371,74.41471572,83.33810751,97.67428339,142.0082334,107.1438003,153.1213192,96.64280425,152.2106882,89.91516437
46,Jordan,74.12983425,28.87165374,64.60850112,71.63271511,33.30468825,65.35263678,105.9065688,85.30305031,99.17550059,103.75216,299.0388312,94.43266172
117,Kazakhstan,42.32044199,24.46835126,36.25652498,45.40893889,36.62751838,51.34600849,67.97923752,66.94836921,127.9151943,76.72179709,288.9273356,42.1845175
79,Kenya,55.53867403,26.84513385,52.72184937,53.29887504,26.08612623,41.02564103,68.62359048,73.40551961,372.5559482,139.8420143,294.5021146,105.8218452
124,Kosovo,39.32320442,21.19089317,39.56748695,31.9854059,46.69149241,,,,,,,
51,Kuwait,69.5718232,78.08356267,51.72259508,71.57190635,81.72443426,67.30042444,116.7889744,74.22421762,144.6407538,85.01604542,264.0907343,21.44220573
127,Kyrgyzstan,37.25138122,22.96722542,34.88441462,32.60869565,23.85180941,,,,,,,
58,Latvia,66.21546961,30.87315487,51.97613721,65.18698693,50.10980617,87.21437293,112.8512619,83.071438,104.2402827,81.18982967,129.680892,79.21527041
34,Lebanon,83.56353591,61.39604704,65.5033557,88.41593189,42.46156784,61.95709053,101.3781994,85.01254457,155.8303887,92.27351271,339.7539408,100.466596
66,Lithuania,61.16022099,34.15061296,50.15659955,64.91334752,55.23727681,92.69143555,119.8138536,91.76020071,128.3863369,64.37916564,110.7266436,71.85577943
7,Luxembourg,113.1077348,137.4030523,103.0574198,136.5916692,99.22658264,,,,,,,
30,Macao,89.55801105,110.0325244,92.46830723,65.93189419,77.24625227,,,,,,,
84,Malaysia,54.03314917,27.52064048,56.04772558,34.87382183,61.57738948,68.86446886,73.67102202,89.9247326,117.0789164,91.40952851,242.9065744,61.42099682
26,Malta,93.17679558,77.65824368,81.87919463,115.4454241,44.2280149,,,,,,,
48,Mauritius,73.25966851,29.99749812,72.99030574,66.82882335,29.48534326,,,,,,,
